dataset,initial_layout,neighbor_method,experiment_num,experiment_name,final_fitness,result_file,neighbor_short
moby_dick,QWERTZ,local,5,Logarithmic_Slow,1097011.9,results/sa/moby_dick/QWERTZ/results.txt,local
moby_dick,QWERTZ,local,6,Linear_Aggressive,806569.7,results/sa/moby_dick/QWERTZ/results.txt,local
moby_dick,QWERTZ,local,7,Geometric_VeryHigh,943320.0,results/sa/moby_dick/QWERTZ/results.txt,local
moby_dick,QWERTZ,local,8,Geometric_UltraSlow,885342.3,results/sa/moby_dick/QWERTZ/results.txt,local
moby_dick,QWERTZ,random,1,Geometric_Fast,808768.0,,global
moby_dick,QWERTZ,random,2,Geometric_Balanced,773082.7,,global
moby_dick,QWERTZ,random,3,Geometric_Slow,773092.3,,global
moby_dick,QWERTZ,random,4,Logarithmic_Fast,804808.4,,global
moby_dick,QWERTZ,random,5,Logarithmic_Slow,804838.1,,global
moby_dick,QWERTZ,random,6,Linear_Aggressive,769305.5,,global
moby_dick,QWERTZ,random,7,Geometric_VeryHigh,771213.8,,global
moby_dick,QWERTZ,random,8,Geometric_UltraSlow,767943.6,,global
moby_dick,Random,local,1,Geometric_Fast,1177847.2,,local
moby_dick,Random,local,2,Geometric_Balanced,939344.4,,local
moby_dick,Random,local,3,Geometric_Slow,866853.0,,local
moby_dick,Random,local,4,Logarithmic_Fast,1180407.1,results/sa/moby_dick/Random/results.txt,local
moby_dick,Random,local,5,Logarithmic_Slow,1120702.5,results/sa/moby_dick/Random/results.txt,local
moby_dick,Random,local,6,Linear_Aggressive,908678.7,results/sa/moby_dick/Random/results.txt,local
moby_dick,Random,local,7,Geometric_VeryHigh,1004334.4,results/sa/moby_dick/Random/results.txt,local
moby_dick,Random,local,8,Geometric_UltraSlow,921793.0,results/sa/moby_dick/Random/results.txt,local
moby_dick,Random,random,1,Geometric_Fast,840199.4,,global
moby_dick,Random,random,2,Geometric_Balanced,778895.1,,global
moby_dick,Random,random,3,Geometric_Slow,774634.3,,global
moby_dick,Random,random,4,Logarithmic_Fast,793208.3,,global
moby_dick,Random,random,5,Logarithmic_Slow,781127.6,,global
moby_dick,Random,random,6,Linear_Aggressive,762870.5,,global
moby_dick,Random,random,7,Geometric_VeryHigh,788541.5,,global
moby_dick,Random,random,8,Geometric_UltraSlow,769186.5,,global
wizard_oz,COLEMAK,local,1,Geometric_Fast,145771.3,,local
wizard_oz,COLEMAK,local,2,Geometric_Balanced,146599.2,,local
wizard_oz,COLEMAK,local,3,Geometric_Slow,136790.9,,local
wizard_oz,COLEMAK,local,4,Logarithmic_Fast,178111.4,results/sa/wizard_oz/COLEMAK/results.txt,local
wizard_oz,COLEMAK,local,5,Logarithmic_Slow,179430.3,results/sa/wizard_oz/COLEMAK/results.txt,local
wizard_oz,COLEMAK,local,6,Linear_Aggressive,138584.2,results/sa/wizard_oz/COLEMAK/results.txt,local
wizard_oz,COLEMAK,local,7,Geometric_VeryHigh,137026.4,results/sa/wizard_oz/COLEMAK/results.txt,local
wizard_oz,COLEMAK,local,8,Geometric_UltraSlow,131693.6,results/sa/wizard_oz/COLEMAK/results.txt,local
wizard_oz,COLEMAK,random,1,Geometric_Fast,126010.2,,global
wizard_oz,COLEMAK,random,2,Geometric_Balanced,124865.6,,global
wizard_oz,COLEMAK,random,3,Geometric_Slow,120633.7,,global
wizard_oz,COLEMAK,random,4,Logarithmic_Fast,129126.8,,global
wizard_oz,COLEMAK,random,5,Logarithmic_Slow,127624.5,,global
wizard_oz,COLEMAK,random,6,Linear_Aggressive,126789.2,,global
wizard_oz,COLEMAK,random,7,Geometric_VeryHigh,123141.8,,global
wizard_oz,COLEMAK,random,8,Geometric_UltraSlow,128547.5,,global
wizard_oz,DVORAK,local,1,Geometric_Fast,144182.0,,local
wizard_oz,DVORAK,local,2,Geometric_Balanced,142232.4,,local
wizard_oz,DVORAK,local,3,Geometric_Slow,140585.9,,local
wizard_oz,DVORAK,local,4,Logarithmic_Fast,162665.8,results/sa/wizard_oz/DVORAK/results.txt,local
wizard_oz,DVORAK,local,5,Logarithmic_Slow,160814.1,results/sa/wizard_oz/DVORAK/results.txt,local
wizard_oz,DVORAK,local,6,Linear_Aggressive,141939.8,results/sa/wizard_oz/DVORAK/results.txt,local
